,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Thermal sensation
7341,4.0,2.0,0.1,19.0,23.1,78.0,8.0,-1
7343,1.0,1.0,0.3,27.36,27.55,60.912,27.65,-1
7345,1.0,1.0,0.3,27.36,27.55,60.912,27.65,0
7346,1.0,2.0,0.3,27.36,27.55,60.912,27.65,-1
7348,2.0,1.0,0.3,27.36,27.55,60.912,27.65,-1
7351,1.0,1.0,0.3,27.36,27.55,60.912,27.65,-2
7353,1.0,1.0,0.3,27.36,27.55,60.912,27.65,1
7355,6.0,1.0,0.3,27.36,27.55,60.912,27.65,-1
7358,3.0,1.0,0.3,27.36,27.55,60.912,27.65,-1
7360,2.0,2.0,0.3,27.36,27.55,60.912,27.65,-1
7363,2.0,1.0,0.3,27.36,27.55,60.912,27.65,-2
7371,2.0,1.0,0.7,27.267,27.41,59.4,26.27,-1
7372,2.0,1.0,0.7,27.267,27.41,59.4,26.27,0
7374,1.0,1.0,0.7,27.267,27.41,59.4,26.27,0
7379,2.0,1.0,0.7,27.267,27.41,59.4,26.27,-2
7380,1.0,2.0,0.7,27.267,27.41,59.4,26.27,-1
7383,2.0,2.0,0.7,27.267,27.41,59.4,26.27,-1
7390,2.0,1.0,0.7,27.267,27.41,59.4,26.27,1
7393,1.0,1.0,0.7,27.267,27.41,59.4,26.27,-1
7394,1.0,2.0,0.7,27.267,27.41,59.4,26.27,0
7399,2.0,2.0,0.7,27.267,27.41,59.4,26.27,0
7401,2.0,2.0,0.7,27.267,27.41,59.4,26.27,1
7405,1.0,1.0,0.7,27.267,27.41,59.4,26.27,1
7410,1.0,1.0,0.6,25.9,26.72,60.7,25.08,0
7412,1.0,1.0,0.6,25.9,26.72,60.7,25.08,-2
7413,1.0,1.0,0.6,25.9,26.72,60.7,25.08,-1
7414,2.0,2.0,0.6,25.9,26.72,60.7,25.08,-1
7416,2.0,1.0,0.6,25.9,26.72,60.7,25.08,0
7418,2.0,2.0,0.6,25.9,26.72,60.7,25.08,0
7426,1.0,2.0,0.6,25.9,26.72,60.7,25.08,0
7430,2.0,1.0,0.6,25.9,26.72,60.7,25.08,-1
7431,1.0,2.0,0.6,25.9,26.72,60.7,25.08,-2
7432,2.0,1.0,0.6,25.9,26.72,60.7,25.08,-2
7444,1.0,2.0,0.6,25.9,26.72,60.7,25.08,-1
7452,2.0,1.0,0.4,19.29,25.4,49.0,13.18,0
7453,2.0,2.0,0.4,19.29,25.4,49.0,13.18,-1
7454,2.0,1.0,0.4,19.29,25.4,49.0,13.18,-1
7465,2.0,2.0,0.4,19.29,25.4,49.0,13.18,0
7472,4.0,1.0,0.4,19.29,25.4,49.0,13.18,0
7473,3.0,1.0,0.4,19.29,25.4,49.0,13.18,-1
7487,2.0,1.0,0.4,19.29,25.4,49.0,13.18,-2
7489,6.0,1.0,0.4,19.29,25.4,49.0,13.18,-1
7490,2.0,2.0,0.4,19.29,25.4,49.0,13.18,-2
7497,1.0,1.0,0.04,29.85,23.1,75.0,24.0,-1
7499,2.0,2.0,0.04,29.85,23.1,75.0,24.0,0
7503,2.0,1.0,0.04,29.85,23.1,75.0,24.0,-1
7504,2.0,2.0,0.04,29.85,23.1,75.0,24.0,2
7505,3.0,1.0,0.04,29.85,23.1,75.0,24.0,2
7506,1.0,1.0,0.04,29.85,23.1,75.0,24.0,0
7510,1.0,2.0,0.04,29.85,23.1,75.0,24.0,2
7512,1.0,2.0,0.04,29.85,23.1,75.0,24.0,0
7514,1.0,2.0,0.04,29.85,23.1,75.0,24.0,-1
7524,1.0,1.0,0.04,29.85,23.1,75.0,24.0,2
7526,2.0,1.0,0.04,29.85,23.1,75.0,24.0,0
7528,3.0,1.0,0.04,29.85,23.1,75.0,24.0,0
7538,2.0,2.0,0.04,29.85,23.1,75.0,24.0,1
7545,1.0,2.0,0.04,29.85,23.1,75.0,24.0,1
7548,2.0,2.0,0.04,25.65,23.1,78.0,24.0,-1
7549,2.0,1.0,0.04,25.65,23.1,78.0,24.0,-2
7550,2.0,1.0,0.04,25.65,23.1,78.0,24.0,-1
